구분,자동차용경유
2018년09월03일,1423.48
2018년09월04일,1424.30
2018년09월05일,1425.34
2018년09월06일,1426.48
2018년09월07일,1427.59
2018년09월08일,1428.41
2018년09월09일,1428.68
2018년09월10일,1429.71
2018년09월11일,1431.43
2018년09월12일,1432.96
2018년09월13일,1434.86
2018년09월14일,1436.87
2018년09월15일,1438.44
2018년09월16일,1439.13
2018년09월17일,1440.96
2018년09월18일,1442.51
2018년09월19일,1444.07
2018년09월20일,1445.58
2018년09월21일,1447.27
2018년09월22일,1449.34
2018년09월23일,1450.34
2018년09월24일,1450.83
2018년09월25일,1451.35
2018년09월26일,1451.71
2018년09월27일,1453.05
2018년09월28일,1454.51
2018년09월29일,1455.90
2018년09월30일,1456.47
2018년10월01일,1458.98
2018년10월02일,1461.80
2018년10월03일,1463.91
2018년10월04일,1466.05
2018년10월05일,1469.06
2018년10월06일,1471.44
2018년10월07일,1472.75
2018년10월08일,1475.13
2018년10월09일,1478.23
2018년10월10일,1480.36
2018년10월11일,1483.11
2018년10월12일,1485.35
2018년10월13일,1486.85
2018년10월14일,1487.61
2018년10월15일,1489.18
2018년10월16일,1490.63
2018년10월17일,1491.89
2018년10월18일,1492.79
2018년10월19일,1493.51
2018년10월20일,1493.84
2018년10월21일,1494.00
2018년10월22일,1494.63
2018년10월23일,1494.64
2018년10월24일,1494.80
2018년10월25일,1494.80
2018년10월26일,1494.76
2018년10월27일,1494.82
2018년10월28일,1494.71
2018년10월29일,1495.16
2018년10월30일,1495.37
2018년10월31일,1495.50
2018년11월01일,1495.61
2018년11월02일,1495.76
2018년11월03일,1495.63
2018년11월04일,1495.60
2018년11월05일,1495.76
2018년11월06일,1478.46
2018년11월07일,1462.31
2018년11월08일,1444.76
2018년11월09일,1434.18
2018년11월10일,1427.93
2018년11월11일,1425.16
2018년11월12일,1422.44
2018년11월13일,1418.79
2018년11월14일,1416.15
2018년11월15일,1413.37
2018년11월16일,1410.52
2018년11월17일,1408.06
2018년11월18일,1407.06
2018년11월19일,1405.70
2018년11월20일,1402.88
2018년11월21일,1399.81
2018년11월22일,1396.99
2018년11월23일,1394.10
2018년11월24일,1391.49
2018년11월25일,1390.48
2018년11월26일,1389.11
2018년11월27일,1385.28
2018년11월28일,1381.88
2018년11월29일,1378.62
2018년11월30일,1375.38
2018년12월01일,1370.66
2018년12월02일,1368.46
2018년12월03일,1366.23
2018년12월04일,1362.36
2018년12월05일,1358.37
2018년12월06일,1354.90
2018년12월07일,1351.26
2018년12월08일,1348.62
2018년12월09일,1347.13
2018년12월10일,1344.98
2018년12월11일,1341.17
2018년12월12일,1337.82
2018년12월13일,1334.32
2018년12월14일,1331.38
2018년12월15일,1328.46
2018년12월16일,1326.72
2018년12월17일,1324.80
2018년12월18일,1320.94
2018년12월19일,1316.95
2018년12월20일,1312.44
2018년12월21일,1307.64
2018년12월22일,1303.52
2018년12월23일,1301.33
2018년12월24일,1297.98
2018년12월25일,1293.97
2018년12월26일,1290.33
2018년12월27일,1286.17
2018년12월28일,1283.10
2018년12월29일,1280.12
2018년12월30일,1278.74
2018년12월31일,1277.23
2019년01월01일,1272.42
2019년01월02일,1269.20
2019년01월03일,1265.31
2019년01월04일,1261.82
2019년01월05일,1258.88
2019년01월06일,1257.43
2019년01월07일,1255.30
2019년01월08일,1252.58
2019년01월09일,1250.76
2019년01월10일,1249.46
2019년01월11일,1248.49
2019년01월12일,1247.73
2019년01월13일,1247.24
2019년01월14일,1246.92
2019년01월15일,1246.19
2019년01월16일,1245.63
2019년01월17일,1245.01
2019년01월18일,1244.52
2019년01월19일,1244.19
2019년01월20일,1243.97
2019년01월21일,1244.06
2019년01월22일,1243.88
2019년01월23일,1243.78
2019년01월24일,1243.69
2019년01월25일,1243.58
2019년01월26일,1243.33
2019년01월27일,1243.22
2019년01월28일,1243.41
2019년01월29일,1243.41
2019년01월30일,1243.27
2019년01월31일,1243.04
2019년02월01일,1242.99
2019년02월02일,1243.01
2019년02월03일,1242.90
2019년02월04일,1242.77
2019년02월05일,1242.71
2019년02월06일,1242.41
2019년02월07일,1242.24
2019년02월08일,1242.17
2019년02월09일,1242.03
2019년02월10일,1241.93
2019년02월11일,1241.92
2019년02월12일,1241.75
2019년02월13일,1241.58
2019년02월14일,1241.53
2019년02월15일,1241.52
2019년02월16일,1241.71
2019년02월17일,1241.69
2019년02월18일,1242.03
2019년02월19일,1242.20
2019년02월20일,1242.50
2019년02월21일,1242.74
2019년02월22일,1243.23
2019년02월23일,1243.82
2019년02월24일,1244.03
2019년02월25일,1244.77
2019년02월26일,1245.75
2019년02월27일,1246.36
2019년02월28일,1246.94
2019년03월01일,1248.50
2019년03월02일,1248.80
2019년03월03일,1248.90
2019년03월04일,1249.48
2019년03월05일,1250.28
2019년03월06일,1251.02
2019년03월07일,1252.01
2019년03월08일,1253.97
2019년03월09일,1255.17
2019년03월10일,1255.79
2019년03월11일,1257.38
2019년03월12일,1259.29
2019년03월13일,1261.62
2019년03월14일,1263.88
2019년03월15일,1267.06
2019년03월16일,1269.58
2019년03월17일,1270.67
2019년03월18일,1272.95
2019년03월19일,1275.44
2019년03월20일,1277.60
2019년03월21일,1279.21
2019년03월22일,1281.22
2019년03월23일,1283.09
2019년03월24일,1283.70
2019년03월25일,1285.44
2019년03월26일,1287.33
2019년03월27일,1288.77
2019년03월28일,1290.02
2019년03월29일,1291.24
2019년03월30일,1292.32
2019년03월31일,1292.39
2019년04월01일,1294.48
2019년04월02일,1296.03
2019년04월03일,1297.42
2019년04월04일,1298.55
2019년04월05일,1299.70
2019년04월06일,1300.91
2019년04월07일,1301.40
2019년04월08일,1302.72
2019년04월09일,1304.14
2019년04월10일,1305.73
2019년04월11일,1307.52
2019년04월12일,1309.38
2019년04월13일,1311.29
2019년04월14일,1312.08
2019년04월15일,1313.98
2019년04월16일,1316.23
2019년04월17일,1318.36
2019년04월18일,1320.14
2019년04월19일,1322.04
2019년04월20일,1323.78
2019년04월21일,1324.66
2019년04월22일,1326.54
2019년04월23일,1328.81
2019년04월24일,1331.19
2019년04월25일,1333.19
2019년04월26일,1335.14
2019년04월27일,1336.99
2019년04월28일,1337.81
2019년04월29일,1339.93
2019년04월30일,1342.35
2019년05월01일,1345.64
2019년05월02일,1347.81
2019년05월03일,1350.07
2019년05월04일,1352.51
2019년05월05일,1354.14
2019년05월06일,1355.76
2019년05월07일,1373.41
2019년05월08일,1382.32
2019년05월09일,1386.25
2019년05월10일,1388.26
2019년05월11일,1389.84
2019년05월12일,1390.35
2019년05월13일,1391.37
2019년05월14일,1392.22
2019년05월15일,1392.80
2019년05월16일,1393.38
2019년05월17일,1394.00
2019년05월18일,1394.73
2019년05월19일,1394.95
2019년05월20일,1395.46
2019년05월21일,1396.34
2019년05월22일,1397.07
2019년05월23일,1397.46
2019년05월24일,1397.98
2019년05월25일,1398.06
2019년05월26일,1398.08
2019년05월27일,1398.33
2019년05월28일,1398.58
2019년05월29일,1399.11
2019년05월30일,1399.07
2019년05월31일,1398.94
2019년06월01일,1398.53
2019년06월02일,1398.21
2019년06월03일,1397.94
2019년06월04일,1397.12
2019년06월05일,1396.05
2019년06월06일,1395.01
2019년06월07일,1394.40
2019년06월08일,1393.39
2019년06월09일,1392.79
2019년06월10일,1391.97
2019년06월11일,1389.95
2019년06월12일,1387.90
2019년06월13일,1385.59
2019년06월14일,1383.07
2019년06월15일,1380.58
2019년06월16일,1379.44
2019년06월17일,1377.66
2019년06월18일,1374.82
2019년06월19일,1372.43
2019년06월20일,1370.24
2019년06월21일,1368.32
2019년06월22일,1366.55
2019년06월23일,1365.85
2019년06월24일,1364.73
2019년06월25일,1363.50
2019년06월26일,1362.48
2019년06월27일,1361.77
2019년06월28일,1361.56
2019년06월29일,1360.84
2019년06월30일,1360.29
2019년07월01일,1359.41
2019년07월02일,1358.43
2019년07월03일,1357.54
2019년07월04일,1356.45
2019년07월05일,1355.51
2019년07월06일,1354.72
2019년07월07일,1354.20
2019년07월08일,1353.91
2019년07월09일,1353.24
2019년07월10일,1352.60
2019년07월11일,1352.17
2019년07월12일,1351.90
2019년07월13일,1351.75
2019년07월14일,1351.64
2019년07월15일,1351.78
2019년07월16일,1351.83
2019년07월17일,1351.63
2019년07월18일,1351.61
2019년07월19일,1351.55
2019년07월20일,1351.33
2019년07월21일,1351.17
2019년07월22일,1351.35
2019년07월23일,1351.10
2019년07월24일,1351.13
2019년07월25일,1351.15
2019년07월26일,1351.31
2019년07월27일,1351.35
2019년07월28일,1351.25
2019년07월29일,1351.49
2019년07월30일,1351.55
2019년07월31일,1351.77
2019년08월01일,1352.00
2019년08월02일,1352.59
2019년08월03일,1352.61
2019년08월04일,1352.49
